TableId,lower_bound,tick_size
8,0.01,0.0005
8,0.1,1
8,0.2,2
8,0.5,5
8,1,0.01
8,2,0.02
8,5,0.05
8,10,0.1
8,20,0.2
8,50,0.5
8,100,1
8,200,2
8,500,5
8,1000,10
8,2000,20
8,5000,50
8,10000,100
8,20000,200
8,50000,500
9,0.01,0.0002
9,0.1,0.0005
9,0.2,1
9,0.5,2
9,1,5
9,2,0.01
9,5,0.02
9,10,0.05
9,20,0.1
9,50,0.2
9,100,0.5
9,200,1
9,500,2
9,1000,5
9,2000,10
9,5000,20
9,10000,50
9,20000,100
9,50000,200
10,0.01,0.0001
10,0.1,0.0002
10,0.2,0.0005
10,0.5,1
10,1,2
10,2,5
10,5,0.01
10,10,0.02
10,20,0.05
10,50,0.1
10,100,0.2
10,200,0.5
10,500,1
10,1000,2
10,2000,5
10,5000,10
10,10000,20
10,20000,50
10,50000,100
11,0.01,0.0001
11,0.1,0.0001
11,0.2,0.0002
11,0.5,0.0005
11,1,1
11,2,2
11,5,5
11,10,0.01
11,20,0.02
11,50,0.05
11,100,0.1
11,200,0.2
11,500,0.5
11,1000,1
11,2000,2
11,5000,5
11,10000,10
11,20000,20
11,50000,50
12,0.01,0.0002
12,0.1,0.0005
12,0.2,1
12,0.5,2
12,1,5
12,2,0.01
12,5,0.02
12,10,0.05
12,20,0.1
12,50,0.2
12,100,0.5
12,200,1
12,500,2
12,1000,5
12,2000,10
12,5000,20
12,10000,50
12,20000,100
12,50000,200
13,0.01,0.0001
13,0.1,0.0001
13,0.2,0.0001
13,0.5,0.0001
13,1,0.0002
13,2,0.0005
13,5,1
13,10,2
13,20,5
13,50,0.01
13,100,0.02
13,200,0.05
13,500,0.1
13,1000,0.2
13,2000,0.5
13,5000,1
13,10000,2
13,20000,5
13,50000,10
